,precipitation,temp_max,temp_min,wind,weather,Predictions
574,0.0,21.1,12.2,3.4,fog,2
575,0.0,25.0,13.3,1.4,sun,2
576,0.0,25.0,13.3,2.8,sun,2
577,0.0,21.7,13.3,1.8,sun,2
578,0.0,20.6,13.3,3.9,sun,2
579,2.0,17.2,15.0,2.0,rain,1
580,0.0,25.0,15.6,2.4,fog,2
581,0.0,28.9,15.0,3.4,sun,2
582,0.0,30.0,15.0,2.1,sun,2
583,0.0,30.6,13.9,1.4,sun,2
584,0.0,31.1,13.9,1.9,sun,2
585,0.0,28.3,14.4,2.5,sun,2
586,0.0,28.3,14.4,2.1,sun,2
587,2.3,25.6,15.0,2.9,rain,2
588,0.0,25.0,14.4,2.9,sun,2
589,0.0,25.6,16.1,1.9,sun,2
590,0.0,27.8,15.0,1.8,sun,2
591,0.8,27.2,15.0,2.0,rain,2
592,1.8,21.1,17.2,1.0,rain,2
593,0.0,28.9,16.1,2.2,fog,2
594,0.0,25.6,17.2,3.0,sun,2
595,0.0,26.1,15.6,3.1,sun,2
596,0.0,26.7,15.6,3.0,sun,2
597,0.0,25.6,16.1,4.6,sun,2
598,0.0,27.8,15.0,4.3,sun,2
599,0.0,28.9,15.0,1.9,sun,2
